"id","citekey","doi","topic","oa_status","full_text_status","pdf_file","source_url","note"
"01","Fredricks2004","10.3102/00346543074001059","engagement","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"02","Henrie2015","10.1016/j.compedu.2015.09.005","engagement","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"03","Bond2020","10.1186/s41239-019-0176-8","engagement","previously_verified","downloaded","03_Bond2020.pdf","","Existing verified file retained."
"04","Dixson2015","10.24059/olj.v19i4.561","engagement","previously_verified","downloaded","04_Dixson2015.pdf","","Existing verified file retained."
"05","Panadero2017","10.3389/fpsyg.2017.00422","self_regulated_learning","previously_verified","downloaded","05_Panadero2017.pdf","","Existing verified file retained."
"06","Wong2018","10.1080/10447318.2018.1543084","self_regulated_learning","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"07","Cerezo2019","10.1007/s12528-019-09225-y","self_regulated_learning","previously_verified","downloaded","07_Cerezo2019.pdf","","Existing verified file retained."
"08","Saint2022","10.1016/j.caeai.2022.100060","self_regulated_learning","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"09","Gasevic2016","10.1016/j.iheduc.2015.10.002","learning_analytics","previously_verified","downloaded","09_Gasevic2016.pdf","","Existing verified file retained."
"10","Sedrakyan2020","10.1016/j.chb.2018.05.004","learning_analytics","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"11","ChiWylie2014","10.1080/00461520.2014.965823","cognitive_engagement","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"12","BlackWiliam1998","10.1080/0969595980050102","formative_assessment","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"13","Shute2008","10.3102/0034654307313795","formative_assessment","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"14","JonssonSvingby2007","10.1016/j.edurev.2007.05.002","rubric","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"15","PanaderoJonsson2013","10.1016/j.edurev.2013.01.002","rubric","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"16","PanaderoEtAl2023","10.1007/s10648-023-09823-4","rubric","previously_verified","downloaded","16_PanaderoEtAl2023.pdf","","Existing verified file retained."
"17","Double2019","10.1007/s10648-019-09510-3","peer_assessment","previously_verified","downloaded","17_Double2019.pdf","","Existing verified file retained."
"18","Wisniewski2020","10.3389/fpsyg.2019.03087","feedback","previously_verified","downloaded","18_Wisniewski2020.pdf","","Existing verified file retained."
"19","Deunk2018","10.1016/j.edurev.2018.02.002","differentiation","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"20","SmaleJacobse2019","10.3389/fpsyg.2019.02366","differentiation","previously_verified","downloaded","20_SmaleJacobse2019.pdf","","Existing verified file retained."
"21","KulikFletcher2016","10.3102/0034654315581420","adaptive_learning","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"22","KimBellandWalker2017","10.1007/s10648-017-9419-1","adaptive_learning","previously_verified","downloaded","22_KimBellandWalker2017.pdf","","Existing verified file retained."
"23","Letourneau2025","10.1038/s41539-025-00320-7","adaptive_learning","previously_verified","downloaded","23_Letourneau2025.pdf","","Existing verified file retained."
"24","AlyahyanDustegor2020","10.1186/s41239-020-0177-7","predictive_analytics","previously_verified","downloaded","24_AlyahyanDustegor2020.pdf","","Existing verified file retained."
"25","RomeroVentura2020","10.1002/widm.1355","learning_analytics","previously_verified","downloaded","25_RomeroVentura2020.pdf","","Existing verified file retained."
"26","Abdelrahman2023","10.1145/3569576","knowledge_tracing","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"27","CorbettAnderson1995","10.1007/BF01099821","knowledge_tracing","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"28","IfenthalerYau2020","10.1007/s11423-020-09788-z","learning_analytics","previously_verified","downloaded","28_IfenthalerYau2020.pdf","","Existing verified file retained."
"29","Araka2020","10.1186/s41039-020-00129-5","self_regulated_learning","previously_verified","downloaded","29_Araka2020.pdf","","Existing verified file retained."
"30","Heikkinen2022","10.1007/s10639-022-11281-4","self_regulated_learning","previously_verified","downloaded","30_Heikkinen2022.pdf","","Existing verified file retained."
"31","BarredoArrieta2020","10.1016/j.inffus.2019.12.012","explainable_ai","previously_verified","downloaded","31_BarredoArrieta2020.pdf","","Existing verified file retained."
"32","Lundberg2020","10.1038/s42256-019-0138-9","explainable_ai","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
"33","Nguyen2022","10.1007/s10639-022-11316-w","responsible_ai","previously_verified","downloaded","33_Nguyen2022.pdf","","Existing verified file retained."
"34","BuckinghamShum2019","10.18608/jla.2019.62.1","human_centred_analytics","previously_verified","downloaded","34_BuckinghamShum2019.pdf","","Existing verified file retained."
"35","Siddiq2016","10.1016/j.edurev.2016.05.002","ict_literacy","unknown","metadata_only","","","Metadata-only record not rechecked in this run."
