id,citekey,doi,topic
01,Fredricks2004,10.3102/00346543074001059,engagement
02,Henrie2015,10.1016/j.compedu.2015.09.005,engagement
03,Bond2020,10.1186/s41239-019-0176-8,engagement
04,Dixson2015,10.24059/olj.v19i4.561,engagement
05,Panadero2017,10.3389/fpsyg.2017.00422,self_regulated_learning
06,Wong2018,10.1080/10447318.2018.1543084,self_regulated_learning
07,Cerezo2019,10.1007/s12528-019-09225-y,self_regulated_learning
08,Saint2022,10.1016/j.caeai.2022.100060,self_regulated_learning
09,Gasevic2016,10.1016/j.iheduc.2015.10.002,learning_analytics
10,Sedrakyan2020,10.1016/j.chb.2018.05.004,learning_analytics
11,ChiWylie2014,10.1080/00461520.2014.965823,cognitive_engagement
12,BlackWiliam1998,10.1080/0969595980050102,formative_assessment
13,Shute2008,10.3102/0034654307313795,formative_assessment
14,JonssonSvingby2007,10.1016/j.edurev.2007.05.002,rubric
15,PanaderoJonsson2013,10.1016/j.edurev.2013.01.002,rubric
16,PanaderoEtAl2023,10.1007/s10648-023-09823-4,rubric
17,Double2019,10.1007/s10648-019-09510-3,peer_assessment
18,Wisniewski2020,10.3389/fpsyg.2019.03087,feedback
19,Deunk2018,10.1016/j.edurev.2018.02.002,differentiation
20,SmaleJacobse2019,10.3389/fpsyg.2019.02366,differentiation
21,KulikFletcher2016,10.3102/0034654315581420,adaptive_learning
22,KimBellandWalker2017,10.1007/s10648-017-9419-1,adaptive_learning
23,Letourneau2025,10.1038/s41539-025-00320-7,adaptive_learning
24,AlyahyanDustegor2020,10.1186/s41239-020-0177-7,predictive_analytics
25,RomeroVentura2020,10.1002/widm.1355,learning_analytics
26,Abdelrahman2023,10.1145/3569576,knowledge_tracing
27,CorbettAnderson1995,10.1007/BF01099821,knowledge_tracing
28,IfenthalerYau2020,10.1007/s11423-020-09788-z,learning_analytics
29,Araka2020,10.1186/s41039-020-00129-5,self_regulated_learning
30,Heikkinen2022,10.1007/s10639-022-11281-4,self_regulated_learning
31,BarredoArrieta2020,10.1016/j.inffus.2019.12.012,explainable_ai
32,Lundberg2020,10.1038/s42256-019-0138-9,explainable_ai
33,Nguyen2022,10.1007/s10639-022-11316-w,responsible_ai
34,BuckinghamShum2019,10.18608/jla.2019.62.1,human_centred_analytics
35,Siddiq2016,10.1016/j.edurev.2016.05.002,ict_literacy
36,PolitBeckOwen2007,10.1002/nur.20147,measurement_validation
37,McNeish2018,10.1037/met0000144,measurement_validation
38,PutnickBornstein2016,10.1016/j.dr.2016.06.004,measurement_validation
39,KooLi2016,10.1016/j.jcm.2016.02.012,measurement_validation
40,Lim2022,10.1016/j.chb.2022.107547,adaptive_scaffolding
41,Molenaar2022,10.1016/j.chb.2022.107540,self_regulated_learning
42,Fan2022TraceValidity,10.1007/s11409-022-09291-1,measurement_validation
43,GiannakosCukurova2023,10.1111/bjet.13320,multimodal_learning_analytics
44,Ouhaichi2023,10.1016/j.caeai.2023.100136,multimodal_learning_analytics
45,Worsley2021,10.18608/jla.2021.7361,multimodal_learning_analytics
46,Alfredo2024,10.1016/j.caeai.2024.100215,human_centred_analytics
47,PaulsenLindsay2024,10.1007/s10639-023-12401-4,learning_analytics_dashboard
48,Susnjak2022,10.1186/s41239-021-00313-7,learning_analytics_dashboard
49,Silvola2021,10.1016/j.compedu.2021.104192,student_engagement
50,Jovanovic2021,10.1016/j.compedu.2021.104251,predictive_analytics
51,Darvishi2023Agency,10.1016/j.compedu.2023.104967,human_ai_interaction
52,Cavalcanti2021,10.1016/j.caeai.2021.100027,formative_feedback
53,Darvishi2022Peer,10.1111/bjet.13233,peer_assessment
54,Hopfenbeck2023,10.3389/feduc.2023.1270700,formative_assessment
55,Topping2025,10.1186/s41239-024-00501-1,peer_assessment
56,Holmes2021,10.1007/s40593-021-00239-1,responsible_ai
57,AkgunGreenhow2021,10.1007/s43681-021-00096-7,responsible_ai
58,KizilcecLee2022,10.4324/9780429329067-10,fairness
59,JiangPardos2021,10.1145/3461702.3462623,fairness
60,Simbeck2023,10.1007/s43681-023-00292-7,learning_analytics_audit
61,Cukurova2024,10.1111/bjet.13514,hybrid_intelligence
62,MosqueiraRey2022,10.1007/s10462-022-10246-w,human_in_the_loop
63,Lin2023ITS,10.1186/s40561-023-00260-y,adaptive_learning
64,DeMooij2025,10.1007/s10648-025-10028-0,self_regulated_learning
65,Sharma2024,10.1111/bjet.13459,collaborative_regulation
66,Ouyang2023,10.1186/s41239-022-00372-4,predictive_analytics
67,Sghir2023,10.1007/s10639-022-11536-0,predictive_analytics
68,Albreiki2021,10.3390/educsci11090552,predictive_analytics
69,Liang2022,10.1080/10494820.2022.2121730,algorithmic_grouping
70,VallesCatala2023,10.1371/journal.pone.0280604,algorithmic_grouping
71,Fan2022Multichannel,10.1007/s11409-022-09304-z,measurement_validation
72,Cloude2022,10.3389/feduc.2022.928632,multimodal_learning_analytics
73,Jin2023,10.1186/s41239-023-00406-5,self_regulated_learning
74,Molenaar2022Hybrid,10.1111/ejed.12527,hybrid_intelligence
75,Azevedo2022,10.3389/fpsyg.2022.813632,adaptive_scaffolding
76,Seufert2026,10.1007/s10648-026-10119-6,self_regulated_learning
77,Wong2026Engagement,10.1007/s11423-026-10586-2,student_engagement
78,Futterer2026,10.1007/s10648-026-10133-8,self_regulated_learning
79,BrunnerKarlen2026,10.1007/s11409-026-09469-x,measurement_validation
80,Yilmaz2026,10.1007/s11423-026-10595-1,adaptive_scaffolding
